1771927356753|1|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927362764|1|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|SELECT COUNT(TRIGGER_NAME) FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'MyScheduler' AND NOT (MISFIRE_INSTR = -1) AND NEXT_FIRE_TIME < ? AND TRIGGER_STATE = ?|SELECT COUNT(TRIGGER_NAME) FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'MyScheduler' AND NOT (MISFIRE_INSTR = -1) AND NEXT_FIRE_TIME < 1771927350762 AND TRIGGER_STATE = 'WAITING'
1771927362765|0|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927371748|1|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|SELECT * FROM QRTZ_SCHEDULER_STATE WHERE SCHED_NAME = 'MyScheduler'|SELECT * FROM QRTZ_SCHEDULER_STATE WHERE SCHED_NAME = 'MyScheduler'
1771927371749|1|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|UPDATE QRTZ_SCHEDULER_STATE SET LAST_CHECKIN_TIME = ? WHERE SCHED_NAME = 'MyScheduler' AND INSTANCE_NAME = ?|UPDATE QRTZ_SCHEDULER_STATE SET LAST_CHECKIN_TIME = 1771927371748 WHERE SCHED_NAME = 'MyScheduler' AND INSTANCE_NAME = 'cjq1771927315395'
1771927371756|5|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927371757|1|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927374763|1|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|SELECT COUNT(TRIGGER_NAME) FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'MyScheduler' AND NOT (MISFIRE_INSTR = -1) AND NEXT_FIRE_TIME < ? AND TRIGGER_STATE = ?|SELECT COUNT(TRIGGER_NAME) FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'MyScheduler' AND NOT (MISFIRE_INSTR = -1) AND NEXT_FIRE_TIME < 1771927362762 AND TRIGGER_STATE = 'WAITING'
1771927374765|0|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927380013|2|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|SELECT TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'MyScheduler' AND TRIGGER_STATE = ? AND NEXT_FIRE_TIME <= ? AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >= ?)) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC|SELECT TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'MyScheduler' AND TRIGGER_STATE = 'WAITING' AND NEXT_FIRE_TIME <= 1771927410009 AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >= 1771927368010)) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC
1771927380014|0|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927384160|3|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|SELECT  id,table_name,field_name,status,create_by,create_time,update_by,update_time  FROM sys_table_white_list|SELECT  id,table_name,field_name,status,create_by,create_time,update_by,update_time  FROM sys_table_white_list
1771927384176|2|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|select name as "text", id as "value" from tb_tracing_tag 		  			where parent_id is null|select name as "text", id as "value" from tb_tracing_tag 		  			where parent_id is null
1771927386752|1|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|SELECT * FROM QRTZ_SCHEDULER_STATE WHERE SCHED_NAME = 'MyScheduler'|SELECT * FROM QRTZ_SCHEDULER_STATE WHERE SCHED_NAME = 'MyScheduler'
1771927386753|0|statement|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai|UPDATE QRTZ_SCHEDULER_STATE SET LAST_CHECKIN_TIME = ? WHERE SCHED_NAME = 'MyScheduler' AND INSTANCE_NAME = ?|UPDATE QRTZ_SCHEDULER_STATE SET LAST_CHECKIN_TIME = 1771927386752 WHERE SCHED_NAME = 'MyScheduler' AND INSTANCE_NAME = 'cjq1771927315395'
1771927386757|2|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
1771927386757|0|commit|connection 2|url jdbc:p6spy:mysql://127.0.0.1:3306/tracing?characterEncoding=UTF-8&useUnicode=true&useSSL=false&tinyInt1isBit=false&allowPublicKeyRetrieval=true&serverTimezone=Asia/Shanghai||
